fecha;cod_local;local;categoria;venta_neta;contribucion;transacciones;venta_bruta
2021-07-03;2047;PRONTO BARRA CHILLÁN;TOTAL;6976792;2668265;995;7685713
2021-07-03;2047;PRONTO BARRA CHILLÁN;CIGARRILLOS;2758061;182521;341;2763450
2021-07-03;2047;PRONTO BARRA CHILLÁN;COMIDA;1256163;742432;215;1494834
2021-07-03;2047;PRONTO BARRA CHILLÁN;COOLER;1117644;516452;419;1329997
2021-07-03;2047;PRONTO BARRA CHILLÁN;RETAIL;759672;344369;348;904009
2021-07-03;2047;PRONTO BARRA CHILLÁN;CAFETERIA;559233;357762;208;665487
2021-07-03;2047;PRONTO BARRA CHILLÁN;SERV_COMIS;493434;493434;53;493434
2021-07-03;2047;PRONTO BARRA CHILLÁN;SERVICIOS;225000;225000;4;225000
2021-07-03;2047;PRONTO BARRA CHILLÁN;BAÑOS;10084;8794;14;12
2021-07-03;2047;PRONTO BARRA CHILLÁN;DIF_VARIAS;0;0;1;0
